Rank_no,Movie_name,Release_Year,Certificate,Runtime_in_min,Genre,Metascore,Gross_in_$_M,Rating_from_10,Gross_numeric,Primary_Genre,Synthetic_Review,VADER_Negative,VADER_Neutral,VADER_Positive,VADER_Compound,VADER_Sentiment,Genre_Encoded,Certificate_Encoded,Decade
224,Room,,R,118,"Drama, Thriller",86.0,14.68,8.1,14.68,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,12,
225,Wild Tales,2014.0,R,122,"Comedy, Drama, Thriller",77.0,3.11,8.1,3.11,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,12,2010.0
226,Tangerines,2013.0,Not Rated,87,"Drama, War",73.0,0.14,8.1,0.14,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,2010.0
227,Winter Sleep,2014.0,Not Rated,196,Drama,88.0,0.17,8.1,0.17,Drama,Winter Sleep is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,8,2010.0
228,PK,2014.0,Not Rated,153,"Comedy, Drama, Sci-Fi",80.0,10.62,8.1,10.62,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,8,2010.0
229,OMG: Oh My God!,2012.0,Not Rated,125,"Comedy, Drama, Fantasy",80.0,0.92,8.1,0.92,Comedy,OMG: Oh My God! is a solid comedy film. Entertaining with good performances.,0.0,0.394,0.606,0.8832,Positive,4,8,2010.0
230,The Grand Budapest Hotel,2014.0,R,99,"Adventure, Comedy, Crime",88.0,59.1,8.1,59.1,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,12,2010.0
231,Gone Girl,2014.0,R,149,"Drama, Mystery, Thriller",79.0,167.77,8.1,167.77,Drama,Gone Girl is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,12,2010.0
232,Wolf Children,2012.0,PG,117,"Animation, Drama, Family",71.0,,8.1,25.54,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,9,2010.0
233,Hacksaw Ridge,2016.0,R,139,"Biography, Drama, History",71.0,67.21,8.1,67.21,Biography,A good watch for biography fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,3,12,2010.0
234,Barfi!,2012.0,Not Rated,151,"Comedy, Drama, Romance",80.0,2.8,8.1,2.8,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,8,2010.0
235,12 Years a Slave,2013.0,R,134,"Biography, Drama, History",96.0,56.67,8.1,56.67,Biography,Pretty good movie with some memorable moments in the biography genre.,0.0,0.596,0.404,0.7269,Positive,3,12,2010.0
236,Rush,,R,123,"Action, Biography, Drama",74.0,26.95,8.1,26.95,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,12,
237,Ford v Ferrari,2019.0,PG-13,152,"Action, Biography, Drama",81.0,117.62,8.1,117.62,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,10,2010.0
238,Spotlight,,R,129,"Biography, Crime, Drama",93.0,45.06,8.1,45.06,Biography,Enjoyed watching this. Great biography elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,3,12,
239,Kahaani,2012.0,Not Rated,122,"Mystery, Thriller",80.0,1.04,8.1,1.04,Mystery,A good watch for mystery fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,11,8,2010.0
240,Udaan,2010.0,Not Rated,134,Drama,80.0,0.01,8.1,0.01,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,2010.0
241,The Help,2011.0,PG-13,146,Drama,62.0,169.71,8.1,169.71,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,10,2010.0
242,Prisoners,2013.0,R,153,"Crime, Drama, Mystery",70.0,61.0,8.1,61.0,Crime,A good watch for crime fans. Not perfect but definitely worth your time.,0.367,0.412,0.221,-0.4284,Negative,5,12,2010.0
243,Mad Max: Fury Road,2015.0,R,120,"Action, Adventure, Sci-Fi",90.0,154.06,8.1,154.06,Action,A good watch for action fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,0,12,2010.0
244,A Wednesday,2008.0,Not Rated,104,"Action, Crime, Drama",80.0,,8.1,25.54,Action,A good watch for action fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,0,8,2000.0
245,Gran Torino,2008.0,R,116,Drama,72.0,148.1,8.1,148.1,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,12,2000.0
246,Harry Potter and the Deathly Hallows: Part 2,2011.0,PG-13,130,"Adventure, Family, Fantasy",85.0,381.01,8.1,381.01,Adventure,Harry Potter and the Deathly Hallows: Part 2 is a solid adventure film. Entertaining with good performances.,0.0,0.573,0.427,0.8271,Positive,1,10,2010.0
247,Article 15,2019.0,Not Rated,130,"Crime, Drama, Mystery",80.0,,8.1,25.54,Crime,Article 15 is a solid crime film. Entertaining with good performances.,0.196,0.391,0.413,0.4404,Positive,5,8,2010.0
248,Hachi: A Dog's Tale,2009.0,G,93,"Biography, Drama, Family",80.0,231.0,8.1,231.0,Biography,A good watch for biography fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,3,4,2000.0
249,Mary and Max,2009.0,Not Rated,92,"Animation, Comedy, Drama",80.0,201.0,8.1,201.0,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,8,2000.0
250,How to Train Your Dragon,2010.0,PG,98,"Animation, Action, Adventure",75.0,217.58,8.1,217.58,Animation,A good watch for animation fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,2,9,2010.0
251,Let's Go! India,2007.0,Not Rated,153,"Drama, Family, Sport",68.0,1.11,8.1,1.11,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,8,2000.0
252,Into the Wild,2007.0,R,148,"Adventure, Biography, Drama",73.0,18.35,8.1,18.35,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,12,2000.0
253,Rang De Basanti,2006.0,Not Rated,167,"Comedy, Crime, Drama",80.0,2.2,8.1,2.2,Comedy,Rang De Basanti is a solid comedy film. Entertaining with good performances.,0.0,0.447,0.553,0.836,Positive,4,8,2000.0
254,Million Dollar Baby,2004.0,PG-13,132,"Drama, Sport",86.0,100.49,8.1,100.49,Drama,Million Dollar Baby is a solid drama film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,6,10,2000.0
255,Hotel Rwanda,2004.0,PG-13,121,"Biography, Drama, History",79.0,23.53,8.1,23.53,Biography,Hotel Rwanda is a solid biography film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,3,10,2000.0
256,Ratatouille,2007.0,G,111,"Animation, Adventure, Comedy",96.0,206.45,8.1,206.45,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,4,2000.0
257,Before Sunset,2004.0,R,80,"Drama, Romance",90.0,5.82,8.1,5.82,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,2000.0
258,Black,2005.0,Not Rated,122,Drama,80.0,0.73,8.1,0.73,Drama,Black is a solid drama film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,6,8,2000.0
259,Munna Bhai M.B.B.S.,2003.0,Not Rated,156,"Comedy, Drama",80.0,,8.1,25.54,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,8,2000.0
260,Memories of Murder,2003.0,Not Rated,132,"Crime, Drama, Mystery",82.0,0.01,8.1,0.01,Crime,Memories of Murder is a solid crime film. Entertaining with good performances.,0.363,0.31,0.327,-0.4215,Negative,5,8,2000.0
261,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,PG-13,143,"Action, Adventure, Fantasy",63.0,305.41,8.1,305.41,Action,Enjoyed watching this. Great action elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,0,10,2000.0
262,Dil Chahta Hai,2001.0,Not Rated,183,"Comedy, Drama, Romance",80.0,0.3,8.1,0.3,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,8,2000.0
263,Catch Me If You Can,2002.0,PG-13,141,"Biography, Crime, Drama",75.0,164.62,8.1,164.62,Biography,Pretty good movie with some memorable moments in the biography genre.,0.0,0.596,0.404,0.7269,Positive,3,10,2000.0
264,Everything's Gonna Be Great,1998.0,,107,"Comedy, Drama, Thriller",80.0,,8.1,25.54,Comedy,Everything's Gonna Be Great is a solid comedy film. Entertaining with good performances.,0.0,0.364,0.636,0.9186,Positive,4,18,1990.0
265,Amores Perros,2000.0,R,154,"Drama, Thriller",83.0,5.38,8.1,5.38,Drama,Amores Perros is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,12,2000.0
266,Hera Pheri,2000.0,Not Rated,156,"Action, Comedy, Crime",80.0,,8.1,25.54,Action,Hera Pheri is a solid action film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,0,8,2000.0
267,Sarfarosh,1999.0,Not Rated,174,"Action, Drama, Thriller",80.0,,8.1,25.54,Action,Sarfarosh is a solid action film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,0,8,1990.0
268,"Monsters, Inc.",2001.0,G,92,"Animation, Adventure, Comedy",79.0,289.92,8.1,289.92,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,4,2000.0
269,Lagaan: Once Upon a Time in India,2001.0,PG,224,"Drama, Musical, Sport",84.0,0.07,8.1,0.07,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,9,2000.0
270,The Celebration,1998.0,R,105,Drama,82.0,1.65,8.1,1.65,Drama,The Celebration is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,12,1990.0
271,The Iron Giant,1999.0,PG,86,"Animation, Action, Adventure",85.0,23.16,8.1,23.16,Animation,The Iron Giant is a solid animation film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,2,9,1990.0
272,The Big Lebowski,1998.0,R,117,"Comedy, Crime",71.0,17.5,8.1,17.5,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,12,1990.0
273,In the Mood for Love,2000.0,PG,98,"Drama, Romance",86.0,2.73,8.1,2.73,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,9,2000.0
274,Trainspotting,1996.0,R,93,Drama,83.0,16.5,8.1,16.5,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,12,1990.0
275,Fargo,1996.0,R,98,"Crime, Thriller",85.0,24.61,8.1,24.61,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,12,1990.0
276,The Bandit,1996.0,Not Rated,128,"Crime, Drama, Thriller",80.0,,8.1,25.54,Crime,A good watch for crime fans. Not perfect but definitely worth your time.,0.367,0.412,0.221,-0.4284,Negative,5,8,1990.0
277,Underground,1995.0,Not Rated,167,"Comedy, Drama, Fantasy",79.0,0.17,8.1,0.17,Comedy,Underground is a solid comedy film. Entertaining with good performances.,0.0,0.377,0.623,0.836,Positive,4,8,1990.0
278,La haine,1995.0,Not Rated,98,"Crime, Drama",80.0,0.31,8.1,0.31,Crime,A good watch for crime fans. Not perfect but definitely worth your time.,0.367,0.412,0.221,-0.4284,Negative,5,8,1990.0
279,Before Sunrise,1995.0,R,101,"Drama, Romance",77.0,5.54,8.1,5.54,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,1990.0
280,Three Colors: Red,1994.0,R,99,"Drama, Mystery, Romance",100.0,4.04,8.1,4.04,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,12,1990.0
281,In the Name of the Father,1993.0,R,133,"Biography, Crime, Drama",84.0,25.01,8.1,25.01,Biography,Enjoyed watching this. Great biography elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,3,12,1990.0
282,Groundhog Day,1993.0,PG,101,"Comedy, Drama, Fantasy",72.0,70.91,8.1,70.91,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,9,1990.0
283,Farewell My Concubine,1993.0,R,171,"Drama, Music, Romance",83.0,5.22,8.1,5.22,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,12,1990.0
284,Raise the Red Lantern,1991.0,PG,125,"Drama, Romance",80.0,2.6,8.1,2.6,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,9,1990.0
285,Time of the Gypsies,1988.0,R,142,"Comedy, Crime, Drama",80.0,0.28,8.1,0.28,Comedy,Time of the Gypsies is a solid comedy film. Entertaining with good performances.,0.0,0.476,0.524,0.836,Positive,4,12,1980.0
286,Dead Poets Society,1989.0,PG,128,"Comedy, Drama",79.0,95.86,8.1,95.86,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,9,1980.0
287,My Neighbor Totoro,1988.0,G,86,"Animation, Comedy, Family",86.0,1.11,8.1,1.11,Animation,Pretty good movie with some memorable moments in the animation genre.,0.0,0.596,0.404,0.7269,Positive,2,4,1980.0
288,Stand by Me,1986.0,R,89,"Adventure, Drama",75.0,52.29,8.1,52.29,Adventure,Enjoyed watching this. Great adventure elements and decent storyline.,0.0,0.382,0.618,0.8658,Positive,1,12,1980.0
289,Platoon,1986.0,R,120,"Drama, War",92.0,138.53,8.1,138.53,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,1980.0
290,Jean de Florette,1986.0,PG,120,"Comedy, Drama",80.0,4.94,8.1,4.94,Comedy,Enjoyed watching this. Great comedy elements and decent storyline.,0.0,0.377,0.623,0.872,Positive,4,9,1980.0
291,The Terminator,1984.0,R,107,"Action, Sci-Fi",84.0,38.4,8.1,38.4,Action,The Terminator is a solid action film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,0,12,1980.0
292,"Paris, Texas",1984.0,R,145,Drama,80.0,2.18,8.1,2.18,Drama,"Paris, Texas is a solid drama film. Entertaining with good performances.",0.0,0.519,0.481,0.7506,Positive,6,12,1980.0
293,Fanny and Alexander,1982.0,R,188,Drama,100.0,4.97,8.1,4.97,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,12,1980.0
294,Blade Runner,1982.0,R,117,"Action, Drama, Sci-Fi",84.0,32.87,8.1,32.87,Action,A good watch for action fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,0,12,1980.0
295,Stalker,1979.0,Not Rated,162,"Drama, Sci-Fi",80.0,0.23,8.1,0.23,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,1970.0
296,Autumn Sonata,1978.0,PG,99,"Drama, Music",80.0,,8.1,25.54,Drama,Autumn Sonata is a solid drama film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,6,9,1970.0
297,The Deer Hunter,1978.0,R,183,"Drama, War",86.0,48.98,8.1,48.98,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,12,1970.0
298,Rocky,1976.0,PG,120,"Drama, Sport",70.0,117.24,8.1,117.24,Drama,Rocky is a solid drama film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,6,9,1970.0
299,Network,1976.0,R,121,Drama,83.0,219.0,8.1,219.0,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,1970.0
300,The Message,1976.0,PG,177,"Biography, Drama, History",80.0,,8.1,25.54,Biography,A good watch for biography fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,3,9,1970.0
301,Sholay,1975.0,Not Rated,162,"Action, Adventure, Comedy",80.0,,8.1,25.54,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,8,1970.0
302,Jaws,1975.0,PG,124,"Adventure, Thriller",87.0,260.0,8.1,260.0,Adventure,Enjoyed watching this. Great adventure elements and decent storyline.,0.0,0.382,0.618,0.8658,Positive,1,9,1970.0
303,Barry Lyndon,1975.0,PG,185,"Adventure, Drama, War",89.0,191.0,8.1,191.0,Adventure,Enjoyed watching this. Great adventure elements and decent storyline.,0.0,0.382,0.618,0.8658,Positive,1,9,1970.0
304,A Woman Under the Influence,1974.0,R,155,"Drama, Romance",88.0,13.34,8.1,13.34,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,12,1970.0
305,Paper Moon,1973.0,PG,102,"Comedy, Crime, Drama",77.0,30.93,8.1,30.93,Comedy,Paper Moon is a solid comedy film. Entertaining with good performances.,0.0,0.414,0.586,0.836,Positive,4,9,1970.0
306,The Exorcist,1973.0,R,122,Horror,81.0,232.91,8.1,232.91,Horror,Pretty good movie with some memorable moments in the horror genre.,0.208,0.449,0.343,0.34,Positive,10,12,1970.0
307,Anand,1971.0,Not Rated,122,"Drama, Musical",80.0,,8.1,25.54,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,8,1970.0
308,Cool Hand Luke,1967.0,GP,127,"Crime, Drama",92.0,16.22,8.1,16.22,Crime,Cool Hand Luke is a solid crime film. Entertaining with good performances.,0.156,0.268,0.576,0.8126,Positive,5,5,1960.0
309,Persona,1966.0,Not Rated,83,"Drama, Thriller",86.0,243.0,8.1,243.0,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,8,1960.0
310,Andrei Rublev,1966.0,R,205,"Biography, Drama, History",80.0,0.1,8.1,0.1,Biography,A good watch for biography fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,3,12,1960.0
311,The Sound of Music,1965.0,G,172,"Biography, Drama, Family",63.0,163.21,8.1,163.21,Biography,Enjoyed watching this. Great biography elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,3,4,1960.0
312,The Battle of Algiers,1966.0,Not Rated,121,"Drama, War",96.0,0.06,8.1,0.06,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,1960.0
313,The Man Who Shot Liberty Valance,1962.0,Approved,123,"Drama, Western",94.0,,8.1,25.54,Drama,The Man Who Shot Liberty Valance is a solid drama film. Entertaining with good performances.,0.0,0.505,0.495,0.8689,Positive,6,3,1960.0
314,The Virgin Spring,1960.0,Not Rated,89,Drama,80.0,1.53,8.1,1.53,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,1960.0
315,Inherit the Wind,1960.0,Passed,128,"Biography, Drama, History",75.0,,8.1,25.54,Biography,Enjoyed watching this. Great biography elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,3,11,1960.0
316,The 400 Blows,1959.0,Not Rated,99,"Crime, Drama",80.0,239.0,8.1,239.0,Crime,The 400 Blows is a solid crime film. Entertaining with good performances.,0.185,0.423,0.392,0.4404,Positive,5,8,1950.0
317,Ben-Hur,1959.0,G,212,"Adventure, Drama",90.0,74.7,8.1,74.7,Adventure,Enjoyed watching this. Great adventure elements and decent storyline.,0.0,0.382,0.618,0.8658,Positive,1,4,1950.0
318,The Hidden Fortress,1958.0,Not Rated,126,"Action, Adventure, Drama",89.0,,8.1,25.54,Action,The Hidden Fortress is a solid action film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,0,8,1950.0
319,Wild Strawberries,1957.0,Not Rated,91,"Drama, Romance",88.0,184.0,8.1,184.0,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,1950.0
320,The Seventh Seal,1957.0,Not Rated,96,"Drama, Fantasy",88.0,199.0,8.1,199.0,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,8,1950.0
321,Nights of Cabiria,1957.0,Not Rated,110,Drama,80.0,0.75,8.1,0.75,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,8,1950.0
322,Throne of Blood,1957.0,Not Rated,110,"Drama, History",80.0,,8.1,25.54,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,8,1950.0
323,Rififi,1955.0,Not Rated,118,"Crime, Drama, Thriller",97.0,0.06,8.1,0.06,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,8,1950.0
324,On the Waterfront,1954.0,Approved,108,"Crime, Drama, Thriller",91.0,9.6,8.1,9.6,Crime,Pretty good movie with some memorable moments in the crime genre.,0.199,0.455,0.347,0.3818,Positive,5,3,1950.0
325,Diabolique,1955.0,Not Rated,117,"Crime, Drama, Horror",80.0,1.09,8.1,1.09,Crime,A good watch for crime fans. Not perfect but definitely worth your time.,0.367,0.412,0.221,-0.4284,Negative,5,8,1950.0
326,Ace in the Hole,1951.0,Approved,111,"Drama, Film-Noir",72.0,3.97,8.1,3.97,Drama,Ace in the Hole is a solid drama film. Entertaining with good performances.,0.0,0.575,0.425,0.7506,Positive,6,3,1950.0
327,White Heat,1949.0,Not Rated,114,"Action, Crime, Drama",80.0,,8.1,25.54,Action,White Heat is a solid action film. Entertaining with good performances.,0.0,0.519,0.481,0.7506,Positive,0,8,1940.0
328,The Third Man,1949.0,Approved,93,"Film-Noir, Mystery, Thriller",97.0,0.45,8.1,0.45,Film-Noir,Enjoyed watching this. Great film-noir elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,9,3,1940.0
329,The Red Shoes,1948.0,Not Rated,135,"Drama, Music, Romance",80.0,10.9,8.1,10.9,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,8,1940.0
330,The Best Years of Our Lives,1946.0,Approved,170,"Drama, Romance, War",93.0,23.65,8.1,23.65,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,3,1940.0
331,Rebecca,1940.0,Approved,130,"Drama, Film-Noir, Mystery",86.0,4.36,8.1,4.36,Drama,Rebecca is a solid drama film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,6,3,1940.0
332,The Grapes of Wrath,1940.0,Passed,129,Drama,96.0,0.06,8.1,0.06,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,11,1940.0
333,The Wizard of Oz,1939.0,PG,102,"Adventure, Family, Fantasy",92.0,2.08,8.1,2.08,Adventure,A good watch for adventure fans. Not perfect but definitely worth your time.,0.259,0.425,0.316,0.0165,Neutral,1,9,1930.0
334,Mr. Smith Goes to Washington,1939.0,Passed,129,"Comedy, Drama",73.0,9.6,8.1,9.6,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,11,1930.0
335,The Grand Illusion,1937.0,Not Rated,113,"Drama, War",80.0,0.17,8.1,0.17,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,8,1930.0
336,It Happened One Night,1934.0,Passed,105,"Comedy, Romance",87.0,4.36,8.1,4.36,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,11,1930.0
337,All Quiet on the Western Front,1930.0,Passed,152,"Drama, War",91.0,3.27,8.1,3.27,Drama,Pretty good movie with some memorable moments in the drama genre.,0.0,0.596,0.404,0.7269,Positive,6,11,1930.0
338,The Circus,1928.0,Passed,72,"Comedy, Family, Romance",90.0,,8.1,25.54,Comedy,A good watch for comedy fans. Not perfect but definitely worth your time.,0.258,0.422,0.319,0.0423,Neutral,4,11,1920.0
339,Sunrise,1927.0,Passed,94,"Drama, Romance",95.0,0.54,8.1,0.54,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,11,1920.0
340,"Quo Vadis, Aida?",2020.0,,101,"Drama, History, War",97.0,,8.0,25.54,Drama,Enjoyed watching this. Great drama elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,6,18,2020.0
341,Wolfwalkers,2020.0,PG,103,"Animation, Adventure, Family",87.0,,8.0,25.54,Animation,A good watch for animation fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,2,9,2020.0
342,The Invisible Guest,2016.0,TV-MA,106,"Crime, Drama, Mystery",80.0,,8.0,25.54,Crime,Enjoyed watching this. Great crime elements and decent storyline.,0.207,0.355,0.438,0.5994,Positive,5,14,2010.0
343,La La Land,2016.0,PG-13,128,"Comedy, Drama, Music",94.0,151.1,8.0,151.1,Comedy,Pretty good movie with some memorable moments in the comedy genre.,0.0,0.482,0.518,0.8225,Positive,4,10,2010.0
344,Lion,2016.0,PG-13,118,"Biography, Drama",69.0,51.74,8.0,51.74,Biography,Lion is a solid biography film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,3,10,2010.0
345,The Martian,2015.0,PG-13,144,"Adventure, Drama, Sci-Fi",80.0,228.43,8.0,228.43,Adventure,Enjoyed watching this. Great adventure elements and decent storyline.,0.0,0.382,0.618,0.8658,Positive,1,10,2010.0
346,Mommy,,R,139,Drama,74.0,3.49,8.0,3.49,Drama,A good watch for drama fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,6,12,
347,Haider,2014.0,Not Rated,160,"Action, Crime, Drama",80.0,0.9,8.0,0.9,Action,A good watch for action fans. Not perfect but definitely worth your time.,0.269,0.495,0.236,-0.1496,Negative,0,8,2010.0
348,Soul,2020.0,PG,100,"Animation, Adventure, Comedy",83.0,,8.0,25.54,Animation,Enjoyed watching this. Great animation elements and decent storyline.,0.0,0.486,0.514,0.8126,Positive,2,9,2020.0
349,Zootopia,2016.0,PG,108,"Animation, Adventure, Comedy",78.0,341.27,8.0,341.27,Animation,Zootopia is a solid animation film. Entertaining with good performances.,0.0,0.486,0.514,0.7506,Positive,2,9,2010.0
350,Baahubali: The Beginning,2015.0,Not Rated,159,"Action, Drama",80.0,6.74,8.0,6.74,Action,Pretty good movie with some memorable moments in the action genre.,0.0,0.596,0.404,0.7269,Positive,0,8,2010.0
351,The Tale of The Princess Kaguya,2013.0,PG,137,"Animation, Drama, Family",89.0,1.51,8.0,1.51,Animation,The Tale of The Princess Kaguya is a solid animation film. Entertaining with good performances.,0.0,0.619,0.381,0.7506,Positive,2,9,2010.0
352,Special 26,2013.0,Not Rated,144,"Crime, Drama, Thriller",80.0,1.08,8.0,1.08,Crime,A good watch for crime fans. Not perfect but definitely worth your time.,0.367,0.412,0.221,-0.4284,Negative,5,8,2010.0
353,The Imitation Game,2014.0,PG-13,114,"Biography, Drama, Thriller",71.0,91.13,8.0,91.13,Biography,The Imitation Game is a solid biography film. Entertaining with good performances.,0.0,0.549,0.451,0.7506,Positive,3,10,2010.0
